name,email_id,phone,movie_name,cost,offer,date,time
Person1,person1@gmail.com,98269254545,Pushpa,200,25,02-02-2023,03:08:58
Person2,person2@gmail.com,93144760909,Brahmastra,350,12,02-02-2023,03:08:58
Person3,person3@gmail.com,98987769546,KGF,300,5,02-02-2023,03:08:58
Person6,person6@gmail.com,91793926696,Radhe,300,10,02-02-2023,03:08:58
Person7,person7@gmail.com,97381095850,Super 30,250,20,02-02-2023,03:08:58
Person8,person8@gmail.com,98749521432,Pushpa,200,25,02-02-2023,03:08:58
Person9,person9@gmail.com,99788696688,ABCD,250,15,02-02-2023,03:08:58
Person10,person10@gmail.com,95905229551,Pushpa,200,25,02-02-2023,03:08:58
Person11,person11@gmail.com,98630343777,Circus,500,20,02-02-2023,03:08:58
Person13,person13@gmail.com,91285424247,Super 30,250,20,02-02-2023,03:08:58
Person14,person14@gmail.com,92883598746,Circus,500,20,02-02-2023,03:08:58
Person15,person15@gmail.com,94459785962,Pushpa,200,25,02-02-2023,03:08:58
Person16,person16@gmail.com,93975335412,Super 30,250,20,02-02-2023,03:08:58
Person18,person18@gmail.com,94004922585,Radhe,300,10,02-02-2023,03:08:58
Person19,person19@gmail.com,97951418579,Pushpa,200,25,02-02-2023,03:08:58
Person20,person20@gmail.com,93858630319,Radhe,300,10,02-02-2023,03:08:58
Person22,person22@gmail.com,96425143674,Pushpa,200,25,02-02-2023,03:08:58
Person25,person25@gmail.com,93534964845,Super 30,250,20,02-02-2023,03:08:58
Person27,person27@gmail.com,92282081261,Radhe,300,10,02-02-2023,03:08:58
Person28,person28@gmail.com,92289688804,Super 30,250,20,02-02-2023,03:08:58
Person30,person30@gmail.com,97989352947,Avatar,400,0,02-02-2023,03:08:58
Person31,person31@gmail.com,97006939421,Pushpa,200,25,02-02-2023,03:08:58
Person32,person32@gmail.com,94352840318,Radhe,300,10,02-02-2023,03:08:58
Person33,person33@gmail.com,99074289108,Super 30,250,20,02-02-2023,03:08:58
